Neighbourhood,Number of Collisions,Median Income,District,Population,City
Kingsview Village-The Westway,3,60824.0,Etobicoke York,22000.0,Toronto
Bendale,8,60292.0,Scarborough,23236.0,Toronto
O'Connor-Parkview,1,59729.0,Toronto and East York,17180.0,Toronto
Elms-Old Rexdale,1,59576.0,Etobicoke York,22776.0,Toronto
Woburn,7,58921.0,Scarborough,53485.0,Toronto
Tam O'Shanter-Sullivan,6,58246.0,Scarborough,27446.0,Toronto
Englemount-Lawrence,2,58003.0,North York,9456.0,Toronto
Dorset Park,8,57986.0,Scarborough,27051.0,Toronto
Keelesdale-Eglinton West,6,57780.0,Toronto and East York,11058.0,Toronto
Mount Olive-Silverstone-Jamestown,16,57414.0,Etobicoke York,16775.0,Toronto
Willowdale West,11,56942.0,North York,40767.0,Toronto
Henry Farm,2,56644.0,North York,15723.0,Toronto
Church-Yonge Corridor,1,56366.0,Toronto and East York,10968.0,Toronto
Downsview-Roding-CFB,11,56053.0,North York,65124.0,Toronto
West Hill,4,56051.0,Scarborough,27392.0,Toronto
Rustic/Pelmo Park/Humberlea,3,55839.0,Etobicoke York,20663.0,Toronto
Rockcliffe-Smythe,5,54908.0,Etobicoke York,14974.0,Toronto
Westminster-Branson,5,54101.0,North York,26274.0,Toronto
Ionview,4,53177.0,Scarborough,29324.0,Toronto
Eglinton East,9,53081.0,Scarborough,28897.0,Toronto
Brookhaven-Amesbury,4,52988.0,Etobicoke York,11499.0,Toronto
Broadview North,2,52731.0,Toronto and East York,14257.0,Toronto
Morningside,6,52721.0,Scarborough,31309.0,Toronto
Mount Dennis,2,52162.0,Etobicoke York,32954.0,Toronto
Black Creek,10,51999.0,Etobicoke York,22291.0,Toronto
Victoria Village,18,51867.0,Etobicoke York,17510.0,Toronto
Kennedy Park,7,51028.0,Scarborough,17123.0,Toronto
New Toronto,6,50891.0,Etobicoke York,18615.0,Toronto
Scarborough Village,5,49568.0,Scarborough,16724.0,Toronto
Moss Park/Regent Park,12,49252.0,Toronto and East York,13593.0,Toronto
Flemingdon Park,7,48917.0,Scarborough,43041.0,Toronto
Bay Street Corridor,6,48737.0,Toronto and East York,43466.0,Toronto
Weston,2,45696.0,Etobicoke York,29090.0,Toronto
Kensington-Chinatown,10,44216.0,Toronto and East York,17945.0,Toronto
North St.James Town,2,41016.0,Toronto and East York,18675.0,Toronto
